//Fisherman spawned by arcanestream
15568 - 2828 3439 0
//Fisherman spawned by arcanestream
15568 - 3658 5117 0
//Kaqemeex spawned by arcanestream
455 - 2916 9673 0
//Kaqemeex spawned by arcanestream
455 - 2918 9673 0
//K'ril Tsutsaroth spawned by kye
6203 - 2916 9801 0
//Chaos dwogre spawned by kye
8771 - 2916 9800 0
//RSBOT DUMPED - Armoured zombie, 85, 17424
8153 - 3239 9993 0
//RSBOT DUMPED - Armoured zombie, 85, 17428
8152 - 3239 9992 0
//RSBOT DUMPED - Armoured zombie, 85, 17426
8149 - 3244 9995 0
//RSBOT DUMPED - Armoured zombie, 85, 17425
8151 - 3240 9999 0
//RSBOT DUMPED - Armoured zombie, 85, 17429
8150 - 3244 9998 0
//RSBOT DUMPED - Armoured zombie, 85, 17413
8152 - 3226 10008 0
//RSBOT DUMPED - Armoured zombie, 85, 17414
8153 - 3226 10009 0
//RSBOT DUMPED - Armoured zombie, 85, 17416
8153 - 3231 10010 0
//RSBOT DUMPED - Armoured zombie, 85, 17420
8152 - 3227 10008 0
//RSBOT DUMPED - Armoured zombie, 85, 17418
8149 - 3228 10012 0
//RSBOT DUMPED - Armoured zombie, 85, 17417
8150 - 3228 10011 0
//RSBOT DUMPED - Armoured zombie, 85, 17415
8151 - 3229 10012 0
//RSBOT DUMPED - Armoured zombie, 85, 17419
8152 - 3226 10013 0
//RSBOT DUMPED - Armoured zombie, 85, 17378
8155 - 3242 10025 0
//RSBOT DUMPED - Armoured zombie, 85, 17381
8157 - 3243 10025 0
//RSBOT DUMPED - Armoured zombie, 85, 17385
8156 - 3244 10025 0
//RSBOT DUMPED - Armoured zombie, 85, 17387
8154 - 3245 10025 0
//RSBOT DUMPED - Armoured zombie, 85, 17389
8158 - 3246 10025 0
//RSBOT DUMPED - Armoured zombie, 85, 17391
8157 - 3247 10025 0
//RSBOT DUMPED - Armoured zombie, 85, 17393
8155 - 3248 10025 0
//RSBOT DUMPED - Armoured zombie, 85, 17396
8156 - 3249 10025 0
//RSBOT DUMPED - Armoured zombie, 85, 17397
8154 - 3250 10025 0
//RSBOT DUMPED - Armoured zombie, 85, 17399
8156 - 3251 10025 0
//RSBOT DUMPED - Armoured zombie, 85, 17400
8157 - 3252 10025 0
//RSBOT DUMPED - Armoured zombie, 85, 17410
8153 - 3221 10012 0
//RSBOT DUMPED - Armoured zombie, 85, 17411
8151 - 3220 10012 0
//RSBOT DUMPED - Armoured zombie, 85, 17404
8150 - 3209 10026 0
//RSBOT DUMPED - Armoured zombie, 85, 17401
8149 - 3206 10028 0
//RSBOT DUMPED - Armoured zombie, 85, 17403
8152 - 3210 10030 0
//RSBOT DUMPED - Armoured zombie, 85, 17405
8151 - 3206 10032 0
//RSBOT DUMPED - Armoured zombie, 85, 17402
8153 - 3208 10032 0
//RSBOT DUMPED - Armoured zombie, 85, 17409
8153 - 3212 10035 0
//RSBOT DUMPED - Armoured zombie, 85, 17408
8152 - 3218 10036 0
//RSBOT DUMPED - Armoured zombie, 85, 17406
8151 - 3211 10038 0
//RSBOT DUMPED - Armoured zombie, 85, 17412
8149 - 3219 10038 0
//RSBOT DUMPED - Armoured zombie, 85, 17407
8150 - 3213 10040 0
//RSBOT DUMPED - Armoured zombie, 85, 17421
8149 - 3231 10035 0
//RSBOT DUMPED - Armoured zombie, 85, 17422
8152 - 3236 10034 0
//RSBOT DUMPED - Armoured zombie, 85, 17423
8150 - 3237 10036 0
//RSBOT DUMPED - Armoured zombie, 85, 17427
8151 - 3241 10041 0
//RSBOT DUMPED - Armoured zombie, 85, 17379
8154 - 3242 10027 0
//RSBOT DUMPED - Armoured zombie, 85, 17380
8157 - 3242 10029 0
//RSBOT DUMPED - Armoured zombie, 85, 17382
8156 - 3243 10027 0
//RSBOT DUMPED - Armoured zombie, 85, 17383
8154 - 3243 10029 0
//RSBOT DUMPED - Armoured zombie, 85, 17386
8155 - 3244 10027 0
//RSBOT DUMPED - Armoured zombie, 85, 17388
8156 - 3245 10027 0
//RSBOT DUMPED - Armoured zombie, 85, 17390
8158 - 3246 10027 0
//RSBOT DUMPED - Armoured zombie, 85, 17431
8149 - 3247 10042 0
//RSBOT DUMPED - Armoured zombie, 85, 17433
8151 - 3246 10042 0
//RSBOT DUMPED - Armoured zombie, 85, 17430
8150 - 3247 10043 0
//RSBOT DUMPED - Armoured zombie, 85, 17435
8153 - 3248 10042 0
//RSBOT DUMPED - Armoured zombie, 85, 17432
